method,arena,num_robots,num_tags,sample,foraging_time_min,pickups,deposits
centralized_ppo,7x7,12,192,1,15,159,157
centralized_ppo,7x7,12,192,2,15,154,151
centralized_ppo,7x7,12,192,3,15,154,151
centralized_ppo,7x7,12,192,4,15,161,160
centralized_ppo,7x7,12,192,5,15,153,151
centralized_ppo,7x7,12,192,6,15,134,134
centralized_ppo,7x7,12,192,7,15,167,165
centralized_ppo,7x7,12,192,8,15,144,140
centralized_ppo,7x7,12,192,9,15,162,160
centralized_ppo,7x7,12,192,10,15,169,168
centralized_ppo,7x7,12,192,11,15,167,165
centralized_ppo,7x7,12,192,12,15,170,166
centralized_ppo,7x7,12,192,13,15,155,152
centralized_ppo,7x7,12,192,14,15,156,154
centralized_ppo,7x7,12,192,15,15,138,137
centralized_ppo,7x7,12,192,16,15,157,155
centralized_ppo,7x7,12,192,17,15,151,148
centralized_ppo,7x7,12,192,18,15,158,154
centralized_ppo,7x7,12,192,19,15,164,161
centralized_ppo,7x7,12,192,20,15,150,146
