method,arena,sample,foraging_time_min,disconnect_start_min,disconnect_duration_min,pickups,deposits
exp4_disconnect,5x5,1,10,4,3,41,40
exp4_disconnect,5x5,3,10,4,3,40,39
exp4_disconnect,5x5,4,10,4,3,39,38
exp4_disconnect,5x5,5,10,4,3,39,38
exp4_disconnect,5x5,6,10,4,3,41,41
exp4_disconnect,5x5,7,10,4,3,41,40
exp4_disconnect,5x5,8,10,4,3,44,43
exp4_disconnect,5x5,9,10,4,3,41,40
exp4_disconnect,5x5,10,10,4,3,41,41
exp4_disconnect,5x5,11,10,4,3,43,41
exp4_disconnect,5x5,12,10,4,3,41,40
exp4_disconnect,5x5,13,10,4,3,44,42
exp4_disconnect,5x5,14,10,4,3,46,46
exp4_disconnect,5x5,15,10,4,3,44,41
exp4_disconnect,5x5,16,10,4,3,40,38
exp4_disconnect,5x5,17,10,4,3,48,47
exp4_disconnect,5x5,18,10,4,3,43,43
exp4_disconnect,5x5,19,10,4,3,39,39
exp4_disconnect,5x5,20,10,4,3,42,40
exp4_disconnect,5x5,2,10,4,3,49,49
