method,arena,sample,foraging_time_min,pickups,deposits
cpfa_baseline,12x12,1,95,217,217
cpfa_baseline,12x12,2,95,192,191
cpfa_baseline,12x12,3,95,222,221
cpfa_baseline,12x12,4,95,197,197
cpfa_baseline,12x12,5,95,214,213
cpfa_baseline,12x12,6,95,213,211
cpfa_baseline,12x12,7,95,206,204
cpfa_baseline,12x12,8,95,219,216
cpfa_baseline,12x12,9,95,204,204
cpfa_baseline,12x12,10,95,221,220
