method,arena,num_robots,num_tags,sample,foraging_time_min,pickups,deposits
centralized_ppo,7x7,16,256,1,15,225,218
centralized_ppo,7x7,16,256,2,15,192,188
centralized_ppo,7x7,16,256,3,15,207,203
centralized_ppo,7x7,16,256,4,15,209,205
centralized_ppo,7x7,16,256,5,15,215,208
centralized_ppo,7x7,16,256,6,15,217,215
centralized_ppo,7x7,16,256,7,15,231,224
centralized_ppo,7x7,16,256,8,15,207,204
centralized_ppo,7x7,16,256,9,15,202,197
centralized_ppo,7x7,16,256,10,15,223,219
centralized_ppo,7x7,16,256,11,15,240,237
centralized_ppo,7x7,16,256,12,15,230,225
centralized_ppo,7x7,16,256,13,15,237,234
centralized_ppo,7x7,16,256,14,15,225,222
centralized_ppo,7x7,16,256,15,15,207,205
centralized_ppo,7x7,16,256,16,15,212,207
centralized_ppo,7x7,16,256,17,15,212,207
centralized_ppo,7x7,16,256,18,15,247,246
centralized_ppo,7x7,16,256,19,15,218,215
centralized_ppo,7x7,16,256,20,15,212,206
