method,arena,sample,foraging_time_min,disconnect_start_min,disconnect_duration_min,pickups,deposits
exp4_disconnect,5x5,1,10,3,5,38,37
exp4_disconnect,5x5,2,10,3,5,35,35
exp4_disconnect,5x5,3,10,3,5,35,35
exp4_disconnect,5x5,4,10,3,5,27,27
exp4_disconnect,5x5,5,10,3,5,29,29
exp4_disconnect,5x5,6,10,3,5,34,34
exp4_disconnect,5x5,7,10,3,5,30,30
exp4_disconnect,5x5,8,10,3,5,33,31
exp4_disconnect,5x5,9,10,3,5,34,32
exp4_disconnect,5x5,10,10,3,5,26,26
exp4_disconnect,5x5,11,10,3,5,36,35
exp4_disconnect,5x5,12,10,3,5,36,35
exp4_disconnect,5x5,13,10,3,5,36,35
exp4_disconnect,5x5,14,10,3,5,41,40
exp4_disconnect,5x5,15,10,3,5,34,34
exp4_disconnect,5x5,16,10,3,5,39,39
exp4_disconnect,5x5,17,10,3,5,27,26
exp4_disconnect,5x5,18,10,3,5,36,36
exp4_disconnect,5x5,19,10,3,5,33,32
exp4_disconnect,5x5,20,10,3,5,35,34
