method,arena,sample,foraging_time_min,disconnect_start_min,disconnect_duration_min,pickups,deposits
exp4_disconnect,5x5,1,10,3.79,3,32,32
exp4_disconnect,5x5,2,10,1.37,3,38,37
exp4_disconnect,5x5,3,10,6.11,3,39,37
exp4_disconnect,5x5,4,10,3.6,3,45,44
exp4_disconnect,5x5,5,10,2.62,3,34,33
exp4_disconnect,5x5,6,10,1.04,3,39,38
exp4_disconnect,5x5,7,10,2.55,3,39,38
exp4_disconnect,5x5,8,10,5.36,3,37,37
exp4_disconnect,5x5,9,10,0.94,3,43,40
exp4_disconnect,5x5,10,10,5.68,3,44,43
exp4_disconnect,5x5,11,10,5.09,3,45,44
exp4_disconnect,5x5,12,10,4.51,3,43,43
exp4_disconnect,5x5,13,10,0.66,3,37,35
exp4_disconnect,5x5,14,10,0.74,3,44,44
exp4_disconnect,5x5,15,10,3.63,3,36,36
exp4_disconnect,5x5,16,10,0.6,3,44,44
exp4_disconnect,5x5,17,10,4.49,3,45,43
exp4_disconnect,5x5,18,10,2.33,3,39,37
exp4_disconnect,5x5,19,10,4.91,3,39,38
exp4_disconnect,5x5,20,10,3.45,3,41,41
