method,arena,robots,sample,active_tags,foraging_time_min,pickups,deposits,deposit_fraction
cpfa_baseline,7x7,4,1,32,10,9,8,0.25
cpfa_baseline,7x7,4,2,32,10,13,12,0.375
cpfa_baseline,7x7,4,3,32,10,13,13,0.40625
cpfa_baseline,7x7,4,4,32,10,11,11,0.34375
cpfa_baseline,7x7,4,5,32,10,14,12,0.375
cpfa_baseline,7x7,4,6,32,10,10,10,0.3125
cpfa_baseline,7x7,4,7,32,10,9,8,0.25
cpfa_baseline,7x7,4,8,32,10,11,11,0.34375
cpfa_baseline,7x7,4,9,32,10,7,5,0.15625
cpfa_baseline,7x7,4,10,32,10,22,21,0.65625
