method,arena,sample,foraging_time_min,disconnect_start_min,disconnect_duration_min,pickups,deposits
exp4_disconnect,5x5,1,10,2.69,5,40,39
exp4_disconnect,5x5,2,10,1.08,5,31,29
exp4_disconnect,5x5,3,10,4.24,5,32,29
exp4_disconnect,5x5,4,10,2.57,5,38,37
exp4_disconnect,5x5,5,10,1.91,5,30,29
exp4_disconnect,5x5,6,10,0.86,5,31,30
exp4_disconnect,5x5,7,10,1.87,5,33,31
exp4_disconnect,5x5,8,10,3.74,5,34,33
exp4_disconnect,5x5,9,10,0.79,5,32,32
exp4_disconnect,5x5,10,10,3.95,5,36,36
exp4_disconnect,5x5,11,10,3.56,5,35,35
exp4_disconnect,5x5,12,10,3.18,5,33,32
exp4_disconnect,5x5,13,10,0.61,5,33,32
exp4_disconnect,5x5,14,10,0.66,5,38,36
exp4_disconnect,5x5,15,10,2.58,5,36,36
exp4_disconnect,5x5,16,10,0.57,5,32,32
exp4_disconnect,5x5,17,10,3.16,5,34,33
exp4_disconnect,5x5,18,10,1.72,5,37,33
exp4_disconnect,5x5,19,10,3.44,5,33,32
exp4_disconnect,5x5,20,10,2.46,5,27,26
