CPFA BASELINE RUN (7x7)
Params file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_params.yaml
Results file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_baseline_7x7_results_20260707_150622.txt
RateOfLayingPheromone=9.0
RateOfSiteFidelity=2.29
RateOfPheromoneDecay=0.1
ProbabilityOfReturningToNest=0.08
ProbabilityOfSwitchingToSearching=0.55
UninformedSearchVariationRad=0.13
UninformedSearchVariationDeg=7.448451336700702
RateOfInformedSearchDecay=1.26

======================================================================
Step 500 (0.3 min) | Pickups: 8 | Deposits: 5 | Rate: 18.75 tags/min | phero_entries=1 max_w=0.566
======================================================================
R1[SEARCH    ]: carry=0 | base=1.15 | wall=2.66 | search=136 | target=none
R2[RTB       ]: carry=1 | base=0.48 | wall=3.10 | search=  0 | target=none
R3[SEARCH    ]: carry=0 | base=1.48 | wall=2.07 | search=344 | target=none
R4[SEARCH    ]: carry=0 | base=1.01 | wall=2.76 | search=344 | target=none
R5[SURVEY    ]: carry=1 | base=1.66 | wall=2.27 | search=  0 | target=none
R6[SURVEY    ]: carry=1 | base=0.75 | wall=2.87 | search=  0 | target=none
R7[SITE      ]: carry=0 | base=0.28 | wall=3.22 | search=  0 | target=site(-0.14,-0.43)
R8[SEARCH    ]: carry=0 | base=1.43 | wall=2.12 | search=344 | target=none
R9[SITE      ]: carry=0 | base=0.27 | wall=3.25 | search=  0 | target=site(0.53,0.53)
R10[SEARCH    ]: carry=0 | base=2.18 | wall=1.33 | search=188 | target=none
R11[SITE      ]: carry=0 | base=0.42 | wall=3.12 | search=  0 | target=site(-0.45,-0.52)
R12[DEPART    ]: carry=0 | base=0.82 | wall=2.68 | search=  0 | target=none
R13[SITE      ]: carry=0 | base=0.38 | wall=3.22 | search=  0 | target=site(0.23,0.55)
R14[GIVE_UP   ]: carry=0 | base=1.61 | wall=1.99 | search=312 | target=none
R15[BASE_ESC  ]: carry=0 | base=0.23 | wall=3.27 | search=  0 | target=site(-0.23,-0.55)
R16[SEARCH    ]: carry=0 | base=2.32 | wall=1.18 | search=344 | target=none

======================================================================
Step 1000 (0.5 min) | Pickups: 15 | Deposits: 9 | Rate: 16.88 tags/min | phero_entries=1 max_w=0.114
======================================================================
R1[SEARCH    ]: carry=0 | base=2.87 | wall=1.06 | search=636 | target=none
R2[SURVEY    ]: carry=1 | base=0.67 | wall=3.00 | search=  0 | target=none
R3[RTB       ]: carry=1 | base=0.91 | wall=2.61 | search=  0 | target=none
R4[SEARCH    ]: carry=0 | base=2.60 | wall=1.07 | search=844 | target=none
R5[RTB       ]: carry=1 | base=0.32 | wall=3.26 | search=  0 | target=none
R6[SURVEY    ]: carry=1 | base=0.57 | wall=2.99 | search=  0 | target=none
R7[SEARCH    ]: carry=0 | base=0.54 | wall=2.96 | search=283 | target=site(-0.14,-0.43)
R8[SEARCH    ]: carry=0 | base=2.48 | wall=1.03 | search=844 | target=none
R9[RTB       ]: carry=1 | base=0.50 | wall=3.10 | search=  0 | target=none
R10[SEARCH    ]: carry=0 | base=3.18 | wall=0.38 | search=688 | target=none
