CPFA BASELINE RUN (7x7)
Params file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_params.yaml
Results file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_baseline_7x7_results_20260811_135828.txt
RateOfLayingPheromone=9.0
RateOfSiteFidelity=2.29
RateOfPheromoneDecay=0.1
ProbabilityOfReturningToNest=0.08
ProbabilityOfSwitchingToSearching=0.55
UninformedSearchVariationRad=0.13
UninformedSearchVariationDeg=7.448451336700702
RateOfInformedSearchDecay=1.26

======================================================================
R11[SEARCH    ]: carry=0 | base=0.48 | wall=3.08 | search=844 | target=site(-0.35,-0.44)
R12[RTB       ]: carry=1 | base=3.81 | wall=0.81 | search=  0 | target=none
R13[SEARCH    ]: carry=0 | base=3.14 | wall=0.38 | search=1844 | target=none
R14[SITE      ]: carry=0 | base=1.34 | wall=2.38 | search=  0 | target=site(-1.40,2.27)
R15[BASE_ESC  ]: carry=0 | base=0.25 | wall=3.29 | search=247 | target=phero(-0.39,-0.48)
R16[SITE      ]: carry=0 | base=0.86 | wall=2.65 | search=  0 | target=site(0.13,-1.53)

======================================================================
Step 2500 (1.3 min) | Pickups: 22 | Deposits: 16 | Rate: 12.00 tags/min | phero_entries=13 max_w=0.485
======================================================================
R1[SEARCH    ]: carry=0 | base=2.25 | wall=1.47 | search=110 | target=site(2.03,1.04)
R2[SEARCH    ]: carry=0 | base=4.36 | wall=0.39 | search=2032 | target=none
R3[PHERO     ]: carry=0 | base=1.13 | wall=2.38 | search=  0 | target=phero(-0.12,2.33)
R4[SITE      ]: carry=0 | base=0.59 | wall=2.93 | search=  0 | target=site(-0.58,1.09)
R5[SURVEY    ]: carry=1 | base=0.67 | wall=2.98 | search=  0 | target=none
R6[SITE      ]: carry=0 | base=1.99 | wall=1.99 | search=  0 | target=site(-2.47,2.20)
R7[SURVEY    ]: carry=1 | base=2.18 | wall=1.32 | search=  0 | target=none
R8[SEARCH    ]: carry=0 | base=2.52 | wall=0.99 | search=103 | target=site(2.47,-0.40)
R9[SEARCH    ]: carry=0 | base=1.09 | wall=2.53 | search=863 | target=site(-1.22,-0.16)
R10[GIVE_UP   ]: carry=0 | base=2.60 | wall=1.16 | search=2028 | target=none
R11[SURVEY    ]: carry=1 | base=2.10 | wall=1.44 | search=  0 | target=none
R12[RTB       ]: carry=1 | base=1.90 | wall=2.15 | search=  0 | target=none
R13[SEARCH    ]: carry=0 | base=3.16 | wall=0.36 | search=2344 | target=none
R14[SEARCH    ]: carry=0 | base=2.57 | wall=1.26 | search=169 | target=site(-1.40,2.27)
R15[SURVEY    ]: carry=1 | base=1.31 | wall=2.35 | search=  0 | target=none
R16[RTB       ]: carry=1 | base=0.57 | wall=2.94 | search=  0 | target=none

======================================================================
Step 3000 (1.6 min) | Pickups: 25 | Deposits: 20 | Rate: 12.50 tags/min | phero_entries=17 max_w=0.911
======================================================================
R1[SEARCH    ]: carry=0 | base=3.29 | wall=0.38 | search=610 | target=site(2.03,1.04)
R2[WALL_ESC  ]: carry=0 | base=4.46 | wall=0.33 | search=2532 | target=none
R3[SEARCH    ]: carry=0 | base=2.41 | wall=1.09 | search=156 | target=phero(-0.12,2.33)
