CPFA BASELINE RUN (7x7)
Params file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_params.yaml
Results file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_baseline_7x7_results_20260811_132421_4.txt
RateOfLayingPheromone=9.0
RateOfSiteFidelity=2.29
RateOfPheromoneDecay=0.1
ProbabilityOfReturningToNest=0.08
ProbabilityOfSwitchingToSearching=0.55
UninformedSearchVariationRad=0.13
UninformedSearchVariationDeg=7.448451336700702
RateOfInformedSearchDecay=1.26

======================================================================
Step 500 (0.3 min) | Pickups: 4 | Deposits: 0 | Rate: 0.00 tags/min | phero_entries=0 max_w=0.000
======================================================================
R1[SEARCH    ]: carry=0 | base=1.16 | wall=2.35 | search=282 | target=none
R2[RTB       ]: carry=1 | base=0.77 | wall=2.75 | search=  0 | target=none
R3[SEARCH    ]: carry=0 | base=1.43 | wall=2.10 | search=344 | target=none
R4[RTB       ]: carry=1 | base=0.59 | wall=2.98 | search=  0 | target=none
R5[SEARCH    ]: carry=0 | base=0.94 | wall=2.80 | search=184 | target=none
R6[RTB       ]: carry=1 | base=1.21 | wall=2.34 | search=  0 | target=none
R7[SEARCH    ]: carry=0 | base=1.93 | wall=1.95 | search=188 | target=none
R8[SEARCH    ]: carry=0 | base=1.04 | wall=2.49 | search=344 | target=none
R9[SEARCH    ]: carry=0 | base=1.03 | wall=2.50 | search=344 | target=none
R10[DEPART    ]: carry=0 | base=0.53 | wall=2.97 | search=  0 | target=none
R11[SEARCH    ]: carry=0 | base=0.68 | wall=2.95 | search=343 | target=none
R12[SEARCH    ]: carry=0 | base=2.57 | wall=1.49 | search= 32 | target=none
R13[SURVEY    ]: carry=1 | base=1.42 | wall=2.14 | search=  0 | target=none
R14[SEARCH    ]: carry=0 | base=1.50 | wall=2.10 | search=344 | target=none
R15[DEPART    ]: carry=0 | base=1.12 | wall=2.49 | search=  0 | target=none
R16[DEPART    ]: carry=0 | base=1.43 | wall=2.20 | search=  0 | target=none

======================================================================
Step 1000 (0.5 min) | Pickups: 9 | Deposits: 4 | Rate: 7.50 tags/min | phero_entries=4 max_w=0.724
======================================================================
R1[SEARCH    ]: carry=0 | base=2.52 | wall=1.48 | search=782 | target=none
R2[SEARCH    ]: carry=0 | base=1.00 | wall=2.54 | search= 45 | target=site(0.96,0.33)
R3[SURVEY    ]: carry=1 | base=2.00 | wall=1.79 | search=  0 | target=none
R4[SEARCH    ]: carry=0 | base=0.97 | wall=2.58 | search=108 | target=site(0.35,-0.87)
R5[SEARCH    ]: carry=0 | base=1.59 | wall=1.91 | search=684 | target=none
R6[SITE      ]: carry=0 | base=0.69 | wall=2.83 | search=  0 | target=site(-0.41,1.18)
R7[SEARCH    ]: carry=0 | base=3.51 | wall=0.75 | search=688 | target=none
R8[SEARCH    ]: carry=0 | base=1.76 | wall=2.22 | search=844 | target=none
R9[SURVEY    ]: carry=1 | base=2.44 | wall=1.25 | search=  0 | target=none
R10[RTB       ]: carry=1 | base=0.69 | wall=2.87 | search=  0 | target=none
R11[SEARCH    ]: carry=0 | base=2.26 | wall=1.33 | search=843 | target=none
R12[RTB       ]: carry=1 | base=3.06 | wall=1.29 | search=  0 | target=none
R13[BASE_ESC  ]: carry=0 | base=0.24 | wall=3.29 | search=  0 | target=site(-0.40,1.36)
R14[SEARCH    ]: carry=0 | base=3.06 | wall=1.05 | search=844 | target=none
R15[RTB       ]: carry=1 | base=0.35 | wall=3.17 | search=  0 | target=none
R16[GIVE_UP   ]: carry=0 | base=1.75 | wall=2.18 | search=156 | target=none

======================================================================
Step 1500 (0.8 min) | Pickups: 16 | Deposits: 6 | Rate: 7.50 tags/min | phero_entries=6 max_w=0.293
======================================================================
R1[RTB       ]: carry=1 | base=3.33 | wall=1.00 | search=  0 | target=none
R2[RTB       ]: carry=1 | base=0.86 | wall=2.65 | search=  0 | target=none
R3[RTB       ]: carry=1 | base=0.53 | wall=3.03 | search=  0 | target=none
R4[RTB       ]: carry=1 | base=0.50 | wall=3.03 | search=  0 | target=none
R5[SEARCH    ]: carry=0 | base=2.09 | wall=1.88 | search=1184 | target=none
R6[SURVEY    ]: carry=1 | base=1.42 | wall=2.15 | search=  0 | target=none
R7[SEARCH    ]: carry=0 | base=4.04 | wall=0.36 | search=1188 | target=none
R8[SURVEY    ]: carry=1 | base=2.93 | wall=1.41 | search=  0 | target=none
R9[RTB       ]: carry=1 | base=1.38 | wall=2.26 | search=  0 | target=none
R10[SITE      ]: carry=0 | base=0.92 | wall=2.64 | search=  0 | target=site(0.33,-0.96)
R11[GIVE_UP   ]: carry=0 | base=1.47 | wall=2.11 | search=936 | target=none
R12[RTB       ]: carry=1 | base=1.15 | wall=2.68 | search=  0 | target=none
R13[SURVEY    ]: carry=1 | base=1.49 | wall=2.07 | search=  0 | target=none
R14[RTB       ]: carry=1 | base=3.34 | wall=0.99 | search=  0 | target=none
R15[SEARCH    ]: carry=0 | base=1.28 | wall=2.35 | search= 91 | target=site(-0.49,1.17)
R16[BASE_ESC  ]: carry=0 | base=0.24 | wall=3.28 | search=  0 | target=phero(0.35,-0.87)

======================================================================
Step 2000 (1.1 min) | Pickups: 17 | Deposits: 12 | Rate: 11.25 tags/min | phero_entries=12 max_w=0.660
======================================================================
R1[RTB       ]: carry=1 | base=1.48 | wall=2.41 | search=  0 | target=none
R2[SITE      ]: carry=0 | base=1.05 | wall=2.48 | search=  0 | target=site(1.08,0.28)
R3[SITE      ]: carry=0 | base=1.42 | wall=2.27 | search=  0 | target=site(1.71,-1.04)
R4[SEARCH    ]: carry=0 | base=1.03 | wall=2.51 | search=113 | target=site(0.36,-0.99)
R5[SEARCH    ]: carry=0 | base=3.24 | wall=0.42 | search=1684 | target=none
R6[SITE      ]: carry=0 | base=0.26 | wall=3.24 | search=  0 | target=site(-0.42,1.32)
R7[GIVE_UP   ]: carry=0 | base=3.57 | wall=0.69 | search=1560 | target=none
R8[RTB       ]: carry=1 | base=1.79 | wall=2.20 | search=  0 | target=none
R9[SITE      ]: carry=0 | base=0.57 | wall=3.03 | search=  0 | target=site(0.95,-2.24)
R10[RTB       ]: carry=1 | base=1.08 | wall=2.47 | search=  0 | target=none
R11[PHERO     ]: carry=0 | base=0.31 | wall=3.19 | search=  0 | target=phero(1.08,0.28)
R12[SITE      ]: carry=0 | base=0.80 | wall=2.90 | search=  0 | target=site(2.17,-2.41)
R13[RTB       ]: carry=1 | base=0.41 | wall=3.10 | search=  0 | target=none
R14[RTB       ]: carry=1 | base=1.42 | wall=2.43 | search=  0 | target=none
R15[SEARCH    ]: carry=0 | base=0.39 | wall=3.13 | search=591 | target=site(-0.49,1.17)
R16[SEARCH    ]: carry=0 | base=0.95 | wall=2.56 | search=289 | target=phero(0.35,-0.87)

======================================================================
Step 2500 (1.3 min) | Pickups: 21 | Deposits: 17 | Rate: 12.75 tags/min | phero_entries=16 max_w=0.733
======================================================================
R1[SITE      ]: carry=0 | base=0.29 | wall=3.24 | search=  0 | target=site(2.16,-2.53)
R2[SEARCH    ]: carry=0 | base=1.84 | wall=1.66 | search=496 | target=site(1.08,0.28)
R3[SEARCH    ]: carry=0 | base=1.93 | wall=2.11 | search=361 | target=site(1.71,-1.04)
R4[RTB       ]: carry=1 | base=1.09 | wall=2.46 | search=  0 | target=none
R5[WALL_ESC  ]: carry=0 | base=3.33 | wall=0.33 | search=2184 | target=none
R6[SEARCH    ]: carry=0 | base=1.24 | wall=2.32 | search=206 | target=site(-0.42,1.32)
R7[GIVE_UP   ]: carry=0 | base=1.65 | wall=2.20 | search=1560 | target=none
R8[BASE_ESC  ]: carry=0 | base=0.23 | wall=3.31 | search=  0 | target=site(-2.05,2.09)
R9[RTB       ]: carry=1 | base=0.61 | wall=2.99 | search=  0 | target=none
R10[SITE      ]: carry=0 | base=0.74 | wall=2.80 | search=  0 | target=site(0.29,-1.12)
R11[SURVEY    ]: carry=1 | base=1.24 | wall=2.29 | search=  0 | target=none
R12[SITE      ]: carry=0 | base=2.71 | wall=1.50 | search=  0 | target=site(2.17,-2.41)
R13[SEARCH    ]: carry=0 | base=1.49 | wall=2.07 | search= 30 | target=site(-0.41,1.43)
R14[SITE      ]: carry=0 | base=0.54 | wall=3.04 | search=  0 | target=site(-2.40,-2.64)
R15[RTB       ]: carry=1 | base=1.07 | wall=2.66 | search=  0 | target=none
R16[SEARCH    ]: carry=0 | base=2.47 | wall=1.10 | search=789 | target=phero(0.35,-0.87)

======================================================================
Step 3000 (1.6 min) | Pickups: 24 | Deposits: 21 | Rate: 13.12 tags/min | phero_entries=17 max_w=0.917
======================================================================
R1[SITE      ]: carry=0 | base=2.17 | wall=1.88 | search=  0 | target=site(2.16,-2.53)
R2[SEARCH    ]: carry=0 | base=3.33 | wall=0.45 | search=996 | target=site(1.08,0.28)
R3[RTB       ]: carry=1 | base=2.27 | wall=1.48 | search=  0 | target=none
R4[SITE      ]: carry=0 | base=0.54 | wall=2.96 | search=  0 | target=site(0.28,-1.23)
R5[WALL_ESC  ]: carry=0 | base=3.34 | wall=0.33 | search=2684 | target=none
R6[SURVEY    ]: carry=1 | base=1.78 | wall=1.98 | search=  0 | target=none
R7[BASE_ESC  ]: carry=0 | base=0.24 | wall=3.29 | search=  0 | target=phero(0.47,-0.90)
R8[SITE      ]: carry=0 | base=2.07 | wall=2.00 | search=  0 | target=site(-2.05,2.09)
R9[SEARCH    ]: carry=0 | base=1.04 | wall=2.58 | search= 65 | target=site(0.47,-0.90)
R10[SEARCH    ]: carry=0 | base=1.46 | wall=2.06 | search=305 | target=site(0.29,-1.12)
R11[BASE_ESC  ]: carry=0 | base=0.23 | wall=3.27 | search=  0 | target=site(1.21,0.26)
R12[GIVE_UP   ]: carry=0 | base=2.85 | wall=1.26 | search=156 | target=none
R13[RTB       ]: carry=1 | base=0.89 | wall=2.64 | search=  0 | target=none
R14[SITE      ]: carry=0 | base=2.30 | wall=1.76 | search=  0 | target=site(-2.40,-2.64)
R15[SITE      ]: carry=0 | base=0.66 | wall=3.02 | search=  0 | target=site(0.64,-0.84)
R16[GIVE_UP   ]: carry=0 | base=1.32 | wall=2.34 | search=936 | target=none

======================================================================
Step 3500 (1.9 min) | Pickups: 31 | Deposits: 22 | Rate: 11.79 tags/min | phero_entries=15 max_w=0.345
======================================================================
R1[RTB       ]: carry=1 | base=3.34 | wall=0.97 | search=  0 | target=none
R2[GIVE_UP   ]: carry=0 | base=2.16 | wall=1.58 | search=1092 | target=none
R3[RTB       ]: carry=1 | base=0.40 | wall=3.14 | search=  0 | target=none
R4[RTB       ]: carry=1 | base=1.25 | wall=2.31 | search=  0 | target=none
R5[WALL_ESC  ]: carry=0 | base=3.34 | wall=0.33 | search=3184 | target=none
R6[RTB       ]: carry=1 | base=0.76 | wall=2.88 | search=  0 | target=none
R7[SEARCH    ]: carry=0 | base=0.90 | wall=2.64 | search=258 | target=phero(0.47,-0.90)
R8[SURVEY    ]: carry=1 | base=2.92 | wall=1.42 | search=  0 | target=none
R9[SEARCH    ]: carry=0 | base=0.70 | wall=2.90 | search=565 | target=site(0.47,-0.90)
R10[RTB       ]: carry=1 | base=2.44 | wall=1.28 | search=  0 | target=none
R11[SURVEY    ]: carry=1 | base=1.26 | wall=2.28 | search=  0 | target=none
R12[SURVEY    ]: carry=1 | base=1.32 | wall=2.46 | search=  0 | target=none
R13[SITE      ]: carry=0 | base=1.04 | wall=2.50 | search=  0 | target=site(-0.47,1.42)
R14[SURVEY    ]: carry=1 | base=3.55 | wall=0.88 | search=  0 | target=none
R15[BASE_ESC  ]: carry=0 | base=0.22 | wall=3.32 | search=  0 | target=phero(-0.47,1.42)
R16[PHERO     ]: carry=0 | base=0.29 | wall=3.24 | search=  0 | target=phero(-0.47,1.42)

======================================================================
Step 4000 (2.1 min) | Pickups: 34 | Deposits: 27 | Rate: 12.66 tags/min | phero_entries=13 max_w=0.947
======================================================================
R1[RTB       ]: carry=1 | base=1.74 | wall=2.21 | search=  0 | target=none
R2[BASE_ESC  ]: carry=0 | base=0.24 | wall=3.29 | search=  0 | target=phero(1.00,-2.06)
R3[SURVEY    ]: carry=1 | base=1.07 | wall=2.51 | search=  0 | target=none
R4[SITE      ]: carry=0 | base=0.51 | wall=3.05 | search=  0 | target=site(0.36,-1.21)
R5[WALL_ESC  ]: carry=0 | base=3.33 | wall=0.33 | search=3684 | target=none
R6[SITE      ]: carry=0 | base=1.16 | wall=2.54 | search=  0 | target=site(0.93,1.52)
R7[PHERO     ]: carry=0 | base=0.29 | wall=3.22 | search=  0 | target=phero(1.00,-2.06)
R8[RTB       ]: carry=1 | base=1.13 | wall=2.69 | search=  0 | target=none
R9[SURVEY    ]: carry=1 | base=1.58 | wall=2.02 | search=  0 | target=none
R10[RTB       ]: carry=1 | base=0.72 | wall=2.85 | search=  0 | target=none
R11[BASE_ESC  ]: carry=0 | base=0.23 | wall=3.27 | search=  0 | target=site(1.22,0.29)
R12[BASE_ESC  ]: carry=0 | base=0.23 | wall=3.33 | search=  0 | target=site(0.81,-1.04)
R13[RTB       ]: carry=1 | base=1.62 | wall=1.95 | search=  0 | target=none
R14[RTB       ]: carry=1 | base=2.13 | wall=1.90 | search=  0 | target=none
R15[PHERO     ]: carry=0 | base=0.59 | wall=2.91 | search=  0 | target=phero(-0.47,1.42)
R16[PHERO     ]: carry=0 | base=1.45 | wall=2.13 | search=  0 | target=phero(-0.47,1.42)

======================================================================
Step 4500 (2.4 min) | Pickups: 40 | Deposits: 33 | Rate: 13.75 tags/min | phero_entries=15 max_w=0.969
======================================================================
R1[BASE_ESC  ]: carry=0 | base=0.24 | wall=3.30 | search=  0 | target=site(2.18,-2.53)
R2[SURVEY    ]: carry=1 | base=1.12 | wall=2.57 | search=  0 | target=none
R3[BASE_ESC  ]: carry=0 | base=0.25 | wall=3.30 | search=  0 | target=site(0.39,-0.99)
R4[RTB       ]: carry=1 | base=1.14 | wall=2.44 | search=  0 | target=none
R5[WALL_ESC  ]: carry=0 | base=3.33 | wall=0.34 | search=4184 | target=none
R6[SURVEY    ]: carry=1 | base=1.67 | wall=2.13 | search=  0 | target=none
R7[SURVEY    ]: carry=1 | base=1.37 | wall=2.21 | search=  0 | target=none
R8[SITE      ]: carry=0 | base=0.83 | wall=2.86 | search=  0 | target=site(-2.07,2.07)
R9[RTB       ]: carry=1 | base=0.28 | wall=3.23 | search=  0 | target=none
R10[SITE      ]: carry=0 | base=0.87 | wall=2.67 | search=  0 | target=site(0.99,-2.22)
R11[SURVEY    ]: carry=1 | base=1.24 | wall=2.30 | search=  0 | target=none
R12[SEARCH    ]: carry=0 | base=1.44 | wall=2.42 | search=128 | target=site(0.81,-1.04)
R13[BASE_ESC  ]: carry=0 | base=0.21 | wall=3.30 | search=  0 | target=site(-0.48,1.54)
R14[BASE_ESC  ]: carry=0 | base=0.23 | wall=3.33 | search=  0 | target=site(-2.40,-2.61)
R15[SEARCH    ]: carry=0 | base=1.45 | wall=2.10 | search=129 | target=phero(-0.47,1.42)
R16[RTB       ]: carry=1 | base=1.14 | wall=2.42 | search=  0 | target=none

======================================================================
