CPFA BASELINE RUN (7x7)
Params file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_params.yaml
Results file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_baseline_7x7_results_20260811_135756_1.txt
RateOfLayingPheromone=9.0
RateOfSiteFidelity=2.29
RateOfPheromoneDecay=0.1
ProbabilityOfReturningToNest=0.08
ProbabilityOfSwitchingToSearching=0.55
UninformedSearchVariationRad=0.13
UninformedSearchVariationDeg=7.448451336700702
RateOfInformedSearchDecay=1.26

======================================================================
Step 500 (0.3 min) | Pickups: 4 | Deposits: 1 | Rate: 3.75 tags/min | phero_entries=1 max_w=0.562
======================================================================
R1[SEARCH    ]: carry=0 | base=1.40 | wall=2.29 | search=344 | target=none
R2[SEARCH    ]: carry=0 | base=0.54 | wall=3.03 | search=344 | target=none
R3[RTB       ]: carry=1 | base=1.09 | wall=2.56 | search=  0 | target=none
R4[GIVE_UP   ]: carry=0 | base=1.50 | wall=2.00 | search=156 | target=none
R5[SEARCH    ]: carry=0 | base=1.63 | wall=2.02 | search=188 | target=none
R6[RTB       ]: carry=1 | base=0.96 | wall=2.61 | search=  0 | target=none
R7[SEARCH    ]: carry=0 | base=1.09 | wall=2.43 | search=344 | target=none
R8[SEARCH    ]: carry=0 | base=0.99 | wall=2.51 | search=225 | target=none
R9[GIVE_UP   ]: carry=0 | base=0.74 | wall=2.82 | search=312 | target=none
R10[SEARCH    ]: carry=0 | base=1.66 | wall=1.94 | search= 31 | target=none
R11[SITE      ]: carry=0 | base=0.45 | wall=3.12 | search=  0 | target=site(-0.53,-0.53)
R12[SEARCH    ]: carry=0 | base=0.64 | wall=2.91 | search=344 | target=none
R13[RTB       ]: carry=1 | base=1.04 | wall=2.50 | search=  0 | target=none
R14[GIVE_UP   ]: carry=0 | base=1.80 | wall=1.79 | search=312 | target=none
R15[SEARCH    ]: carry=0 | base=1.92 | wall=1.72 | search=344 | target=none
R16[GIVE_UP   ]: carry=0 | base=1.77 | wall=2.08 | search=312 | target=none

======================================================================
Step 1000 (0.5 min) | Pickups: 9 | Deposits: 6 | Rate: 11.25 tags/min | phero_entries=6 max_w=0.987
======================================================================
R1[GIVE_UP   ]: carry=0 | base=0.47 | wall=3.15 | search=468 | target=none
R2[GIVE_UP   ]: carry=0 | base=0.63 | wall=2.91 | search=624 | target=none
R3[SITE      ]: carry=0 | base=0.72 | wall=2.87 | search=  0 | target=site(0.51,1.06)
R4[BASE_ESC  ]: carry=0 | base=0.24 | wall=3.27 | search=  0 | target=phero(0.35,1.07)
R5[RTB       ]: carry=1 | base=2.24 | wall=1.29 | search=  0 | target=none
R6[SITE      ]: carry=0 | base=0.79 | wall=2.82 | search=  0 | target=site(0.35,1.07)
R7[SEARCH    ]: carry=0 | base=2.74 | wall=0.82 | search=844 | target=none
R8[SEARCH    ]: carry=0 | base=2.63 | wall=0.92 | search=725 | target=none
R9[PHERO     ]: carry=0 | base=0.55 | wall=2.95 | search=  0 | target=phero(0.35,1.07)
R10[SURVEY    ]: carry=1 | base=2.66 | wall=0.95 | search=  0 | target=none
R11[BASE_ESC  ]: carry=0 | base=0.22 | wall=3.32 | search=  0 | target=site(-0.48,-0.51)
R12[BASE_ESC  ]: carry=0 | base=0.24 | wall=3.29 | search=  0 | target=site(-0.83,-0.41)
R13[SITE      ]: carry=0 | base=0.82 | wall=2.71 | search=  0 | target=site(0.24,1.09)
R14[GIVE_UP   ]: carry=0 | base=0.34 | wall=3.16 | search=312 | target=none
R15[RTB       ]: carry=1 | base=2.12 | wall=1.43 | search=  0 | target=none
R16[BASE_ESC  ]: carry=0 | base=0.22 | wall=3.31 | search=  0 | target=phero(-0.53,-0.53)

======================================================================
Step 1500 (0.8 min) | Pickups: 10 | Deposits: 7 | Rate: 8.75 tags/min | phero_entries=7 max_w=0.962
======================================================================
R1[PHERO     ]: carry=0 | base=0.64 | wall=2.95 | search=  0 | target=phero(0.35,1.07)
R2[SEARCH    ]: carry=0 | base=0.69 | wall=3.01 | search= 39 | target=phero(-0.48,-0.51)
R3[SEARCH    ]: carry=0 | base=1.28 | wall=2.48 | search=392 | target=site(0.51,1.06)
R4[GIVE_UP   ]: carry=0 | base=0.82 | wall=2.68 | search=156 | target=none
R5[RTB       ]: carry=1 | base=0.38 | wall=3.13 | search=  0 | target=none
R6[SEARCH    ]: carry=0 | base=1.48 | wall=2.30 | search=412 | target=site(0.35,1.07)
R7[WALL_ESC  ]: carry=0 | base=3.20 | wall=0.35 | search=1344 | target=none
R8[WALL_ESC  ]: carry=0 | base=3.81 | wall=0.34 | search=1225 | target=none
R9[GIVE_UP   ]: carry=0 | base=1.07 | wall=2.60 | search=312 | target=none
R10[RTB       ]: carry=1 | base=0.93 | wall=2.61 | search=  0 | target=none
R11[SURVEY    ]: carry=1 | base=0.76 | wall=2.88 | search=  0 | target=none
R12[SEARCH    ]: carry=0 | base=1.25 | wall=2.44 | search=212 | target=site(-0.83,-0.41)
R13[BASE_ESC  ]: carry=0 | base=0.25 | wall=3.30 | search=  0 | target=phero(0.42,-2.27)
R14[PHERO     ]: carry=0 | base=0.54 | wall=3.06 | search=  0 | target=phero(-0.53,-0.53)
R15[BASE_ESC  ]: carry=0 | base=0.23 | wall=3.27 | search=  0 | target=site(0.42,-2.27)
R16[PHERO     ]: carry=0 | base=0.48 | wall=3.08 | search=  0 | target=phero(-0.53,-0.53)

======================================================================
Step 2000 (1.1 min) | Pickups: 14 | Deposits: 11 | Rate: 10.31 tags/min | phero_entries=11 max_w=0.897
======================================================================
R1[RTB       ]: carry=1 | base=1.19 | wall=2.41 | search=  0 | target=none
R2[PHERO     ]: carry=0 | base=0.64 | wall=2.86 | search=  0 | target=phero(0.42,-2.27)
R3[SEARCH    ]: carry=0 | base=1.92 | wall=1.74 | search=892 | target=site(0.51,1.06)
R4[PHERO     ]: carry=0 | base=0.62 | wall=2.90 | search=  0 | target=phero(-0.83,-0.41)
R5[SITE      ]: carry=0 | base=1.50 | wall=2.03 | search=  0 | target=site(0.36,-2.23)
R6[SEARCH    ]: carry=0 | base=3.02 | wall=0.94 | search=912 | target=site(0.35,1.07)
R7[SEARCH    ]: carry=0 | base=3.19 | wall=0.36 | search=1844 | target=none
R8[WALL_ESC  ]: carry=0 | base=3.75 | wall=0.33 | search=1725 | target=none
R9[PHERO     ]: carry=0 | base=0.37 | wall=3.20 | search=  0 | target=phero(0.36,-2.23)
R10[SITE      ]: carry=0 | base=0.99 | wall=2.54 | search=  0 | target=site(-2.55,-0.74)
R11[SITE      ]: carry=0 | base=0.36 | wall=3.17 | search=  0 | target=site(-0.62,-0.43)
R12[SURVEY    ]: carry=1 | base=2.52 | wall=1.68 | search=  0 | target=none
R13[PHERO     ]: carry=0 | base=0.91 | wall=2.59 | search=  0 | target=phero(0.42,-2.27)
R14[BASE_ESC  ]: carry=0 | base=0.22 | wall=3.32 | search=  0 | target=site(-0.55,-0.57)
R15[SITE      ]: carry=0 | base=1.73 | wall=1.80 | search=  0 | target=site(0.42,-2.27)
R16[SURVEY    ]: carry=1 | base=0.80 | wall=2.86 | search=  0 | target=none

======================================================================
Step 2500 (1.3 min) | Pickups: 17 | Deposits: 14 | Rate: 10.50 tags/min | phero_entries=12 max_w=0.524
======================================================================
R1[SITE      ]: carry=0 | base=0.53 | wall=3.06 | search=  0 | target=site(0.46,1.09)
