CPFA BASELINE RUN (7x7)
Params file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_params.yaml
Results file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_baseline_7x7_results_20260811_132421.txt
RateOfLayingPheromone=9.0
RateOfSiteFidelity=2.29
RateOfPheromoneDecay=0.1
ProbabilityOfReturningToNest=0.08
ProbabilityOfSwitchingToSearching=0.55
UninformedSearchVariationRad=0.13
UninformedSearchVariationDeg=7.448451336700702
RateOfInformedSearchDecay=1.26

======================================================================
Step 500 (0.3 min) | Pickups: 7 | Deposits: 1 | Rate: 3.75 tags/min | phero_entries=1 max_w=0.582
======================================================================
R1[SEARCH    ]: carry=0 | base=1.44 | wall=2.41 | search=175 | target=none
R2[SURVEY    ]: carry=1 | base=1.13 | wall=2.43 | search=  0 | target=none
R3[RTB       ]: carry=1 | base=0.59 | wall=3.00 | search=  0 | target=none
R4[SEARCH    ]: carry=0 | base=2.10 | wall=1.40 | search=344 | target=none
R5[GIVE_UP   ]: carry=0 | base=2.04 | wall=2.05 | search=312 | target=none
R6[RTB       ]: carry=1 | base=0.71 | wall=2.81 | search=  0 | target=none
R7[SURVEY    ]: carry=1 | base=0.72 | wall=2.79 | search=  0 | target=none
R8[SITE      ]: carry=0 | base=0.27 | wall=3.25 | search=  0 | target=site(0.19,-0.46)
R9[SEARCH    ]: carry=0 | base=2.11 | wall=1.54 | search=344 | target=none
R10[SEARCH    ]: carry=0 | base=1.35 | wall=2.36 | search=344 | target=none
R11[SEARCH    ]: carry=0 | base=0.34 | wall=3.21 | search=344 | target=none
R12[RTB       ]: carry=1 | base=0.34 | wall=3.18 | search=  0 | target=none
R13[SEARCH    ]: carry=0 | base=0.69 | wall=2.84 | search=344 | target=none
R14[SEARCH    ]: carry=0 | base=0.93 | wall=2.57 | search=344 | target=none
R15[RTB       ]: carry=1 | base=0.69 | wall=2.86 | search=  0 | target=none
R16[SEARCH    ]: carry=0 | base=0.92 | wall=2.78 | search=344 | target=none

======================================================================
Step 1000 (0.5 min) | Pickups: 14 | Deposits: 8 | Rate: 15.00 tags/min | phero_entries=8 max_w=0.675
======================================================================
R1[SURVEY    ]: carry=1 | base=2.68 | wall=1.01 | search=  0 | target=none
R2[SITE      ]: carry=0 | base=0.38 | wall=3.12 | search=  0 | target=site(0.37,1.06)
R3[SURVEY    ]: carry=1 | base=0.60 | wall=3.03 | search=  0 | target=none
R4[SEARCH    ]: carry=0 | base=3.14 | wall=0.39 | search=844 | target=none
R5[GIVE_UP   ]: carry=0 | base=0.45 | wall=3.16 | search=312 | target=none
R6[SITE      ]: carry=0 | base=0.90 | wall=2.61 | search=  0 | target=site(0.13,1.01)
R7[SEARCH    ]: carry=0 | base=0.72 | wall=2.82 | search=120 | target=site(-0.66,-0.12)
R8[RTB       ]: carry=1 | base=0.26 | wall=3.30 | search=  0 | target=none
R9[SEARCH    ]: carry=0 | base=3.14 | wall=0.37 | search=844 | target=none
R10[SURVEY    ]: carry=1 | base=2.74 | wall=1.20 | search=  0 | target=none
R11[GIVE_UP   ]: carry=0 | base=1.49 | wall=2.32 | search=780 | target=none
R12[RTB       ]: carry=1 | base=0.52 | wall=3.10 | search=  0 | target=none
