CPFA BASELINE RUN (7x7)
Params file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_params.yaml
Results file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_baseline_7x7_results_20260811_132421_2.txt
RateOfLayingPheromone=9.0
RateOfSiteFidelity=2.29
RateOfPheromoneDecay=0.1
ProbabilityOfReturningToNest=0.08
ProbabilityOfSwitchingToSearching=0.55
UninformedSearchVariationRad=0.13
UninformedSearchVariationDeg=7.448451336700702
RateOfInformedSearchDecay=1.26

======================================================================
R8[GIVE_UP   ]: carry=0 | base=3.12 | wall=0.42 | search=1404 | target=none
R9[GIVE_UP   ]: carry=0 | base=2.45 | wall=1.08 | search=1560 | target=none
R10[WALL_ESC  ]: carry=0 | base=3.64 | wall=0.32 | search=1844 | target=none
R11[RTB       ]: carry=1 | base=2.27 | wall=1.23 | search=  0 | target=none
R12[SURVEY    ]: carry=1 | base=0.98 | wall=2.53 | search=  0 | target=none
R13[RTB       ]: carry=1 | base=0.81 | wall=2.84 | search=  0 | target=none
R14[SEARCH    ]: carry=0 | base=0.26 | wall=3.30 | search=530 | target=phero(-0.10,-0.60)
R15[GIVE_UP   ]: carry=0 | base=1.02 | wall=2.48 | search=468 | target=none
R16[SITE      ]: carry=0 | base=0.69 | wall=2.82 | search=  0 | target=site(0.10,-0.75)

======================================================================
Step 2500 (1.3 min) | Pickups: 20 | Deposits: 16 | Rate: 12.00 tags/min | phero_entries=14 max_w=0.336
======================================================================
R1[SEARCH    ]: carry=0 | base=2.71 | wall=1.00 | search=643 | target=site(1.26,-1.29)
R2[SEARCH    ]: carry=0 | base=0.68 | wall=2.87 | search=155 | target=site(-0.25,-0.76)
R3[SITE      ]: carry=0 | base=2.08 | wall=1.97 | search=  0 | target=site(-2.08,2.31)
R4[SEARCH    ]: carry=0 | base=0.29 | wall=3.27 | search=735 | target=phero(-0.15,-0.69)
R5[BASE_ESC  ]: carry=0 | base=0.22 | wall=3.28 | search=  0 | target=site(-0.23,-0.77)
R6[PHERO     ]: carry=0 | base=1.03 | wall=2.61 | search=  0 | target=phero(-2.08,2.31)
R7[SURVEY    ]: carry=1 | base=0.76 | wall=2.74 | search=  0 | target=none
R8[SURVEY    ]: carry=1 | base=1.61 | wall=1.92 | search=  0 | target=none
R9[RTB       ]: carry=1 | base=1.67 | wall=1.85 | search=  0 | target=none
R10[SEARCH    ]: carry=0 | base=3.48 | wall=0.39 | search=2344 | target=none
R11[RTB       ]: carry=1 | base=0.35 | wall=3.15 | search=  0 | target=none
R12[SITE      ]: carry=0 | base=0.27 | wall=3.26 | search=  0 | target=site(0.12,-0.97)
