CPFA BASELINE RUN (7x7)
Params file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_params.yaml
Results file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_baseline_7x7_results_20260707_144943_1.txt
RateOfLayingPheromone=9.0
RateOfSiteFidelity=2.29
RateOfPheromoneDecay=0.1
ProbabilityOfReturningToNest=0.08
ProbabilityOfSwitchingToSearching=0.55
UninformedSearchVariationRad=0.13
UninformedSearchVariationDeg=7.448451336700702
RateOfInformedSearchDecay=1.26

======================================================================
Step 500 (0.3 min) | Pickups: 14 | Deposits: 10 | Rate: 37.50 tags/min | phero_entries=7 max_w=0.871
======================================================================
R1[BASE_ESC  ]: carry=0 | base=0.22 | wall=3.33 | search=  0 | target=site(-0.39,-0.31)
R2[RTB       ]: carry=1 | base=0.47 | wall=3.07 | search=  0 | target=none
R3[BASE_ESC  ]: carry=0 | base=0.23 | wall=3.31 | search=  0 | target=site(0.23,0.64)
R4[SEARCH    ]: carry=0 | base=1.24 | wall=2.30 | search=304 | target=none
R5[BASE_ESC  ]: carry=0 | base=0.25 | wall=3.26 | search=  0 | target=site(0.49,0.31)
R6[SEARCH    ]: carry=0 | base=0.49 | wall=3.04 | search= 20 | target=site(-0.19,0.46)
R7[SURVEY    ]: carry=1 | base=1.56 | wall=2.03 | search=  0 | target=none
R8[GIVE_UP   ]: carry=0 | base=1.42 | wall=2.33 | search=156 | target=none
R9[BASE_ESC  ]: carry=0 | base=0.18 | wall=3.34 | search=  0 | target=site(0.53,0.53)
R10[SURVEY    ]: carry=1 | base=0.39 | wall=3.16 | search=  0 | target=none
R11[SITE      ]: carry=0 | base=0.37 | wall=3.17 | search=  0 | target=site(-0.53,-0.53)
R12[SEARCH    ]: carry=0 | base=0.39 | wall=3.11 | search=344 | target=none
R13[SITE      ]: carry=0 | base=0.31 | wall=3.27 | search=  0 | target=site(0.23,0.55)
R14[SURVEY    ]: carry=1 | base=0.25 | wall=3.31 | search=  0 | target=none
R15[SITE      ]: carry=0 | base=0.43 | wall=3.08 | search=  0 | target=site(-0.23,-0.55)
R16[SEARCH    ]: carry=0 | base=2.11 | wall=1.65 | search=344 | target=none

======================================================================
Step 1000 (0.5 min) | Pickups: 21 | Deposits: 16 | Rate: 30.00 tags/min | phero_entries=10 max_w=0.677
======================================================================
R1[BASE_ESC  ]: carry=0 | base=0.24 | wall=3.26 | search=  0 | target=phero(-0.53,-0.53)
R2[SEARCH    ]: carry=0 | base=0.64 | wall=2.98 | search= 66 | target=site(0.54,0.39)
R3[SEARCH    ]: carry=0 | base=0.51 | wall=3.10 | search=245 | target=site(0.23,0.64)
R4[BASE_ESC  ]: carry=0 | base=0.17 | wall=3.33 | search=  0 | target=phero(-0.18,0.34)
R5[SEARCH    ]: carry=0 | base=0.62 | wall=3.04 | search=184 | target=site(0.49,0.31)
R6[SURVEY    ]: carry=1 | base=1.16 | wall=2.50 | search=  0 | target=none
R7[RTB       ]: carry=1 | base=0.46 | wall=3.06 | search=  0 | target=none
R8[BASE_ESC  ]: carry=0 | base=0.22 | wall=3.30 | search=  0 | target=phero(-0.23,-0.55)
R9[SURVEY    ]: carry=1 | base=0.56 | wall=3.10 | search=  0 | target=none
R10[SEARCH    ]: carry=0 | base=0.40 | wall=3.13 | search= 15 | target=site(-0.18,0.34)
R11[SITE      ]: carry=0 | base=0.27 | wall=3.24 | search=  0 | target=site(-0.31,-0.41)
R12[SITE      ]: carry=0 | base=0.39 | wall=3.13 | search=  0 | target=site(-0.47,0.07)
R13[BASE_ESC  ]: carry=0 | base=0.24 | wall=3.33 | search=  0 | target=site(0.26,0.37)
R14[RTB       ]: carry=1 | base=0.30 | wall=3.24 | search=  0 | target=none
R15[SURVEY    ]: carry=1 | base=0.39 | wall=3.11 | search=  0 | target=none
R16[SEARCH    ]: carry=0 | base=3.41 | wall=0.49 | search=844 | target=none

======================================================================
Step 1500 (0.8 min) | Pickups: 25 | Deposits: 21 | Rate: 26.25 tags/min | phero_entries=13 max_w=0.797
======================================================================
R1[RTB       ]: carry=1 | base=0.45 | wall=3.14 | search=  0 | target=none
R2[SEARCH    ]: carry=0 | base=1.65 | wall=2.11 | search=566 | target=site(0.54,0.39)
R3[SEARCH    ]: carry=0 | base=1.59 | wall=2.37 | search=745 | target=site(0.23,0.64)
R4[SURVEY    ]: carry=1 | base=0.44 | wall=3.15 | search=  0 | target=none
R5[SEARCH    ]: carry=0 | base=0.33 | wall=3.26 | search=684 | target=site(0.49,0.31)
R6[BASE_ESC  ]: carry=0 | base=0.22 | wall=3.29 | search=  0 | target=site(-0.59,1.00)
R7[SITE      ]: carry=0 | base=1.40 | wall=2.17 | search=  0 | target=site(-1.47,0.51)
R8[SEARCH    ]: carry=0 | base=0.50 | wall=3.04 | search=138 | target=phero(-0.23,-0.55)
R9[SEARCH    ]: carry=0 | base=0.57 | wall=3.07 | search= 55 | target=site(0.45,0.39)
R10[SEARCH    ]: carry=0 | base=1.10 | wall=2.47 | search=515 | target=site(-0.18,0.34)
R11[SEARCH    ]: carry=0 | base=0.80 | wall=2.71 | search=410 | target=site(-0.31,-0.41)
R12[SURVEY    ]: carry=1 | base=0.42 | wall=3.12 | search=  0 | target=none
R13[SEARCH    ]: carry=0 | base=1.11 | wall=2.63 | search=429 | target=site(0.26,0.37)
R14[SEARCH    ]: carry=0 | base=0.43 | wall=3.09 | search=204 | target=site(-0.18,0.28)
R15[SURVEY    ]: carry=1 | base=0.37 | wall=3.19 | search=  0 | target=none
R16[WALL_ESC  ]: carry=0 | base=3.77 | wall=0.33 | search=1344 | target=none

======================================================================
Step 2000 (1.1 min) | Pickups: 28 | Deposits: 26 | Rate: 24.38 tags/min | phero_entries=13 max_w=0.161
======================================================================
R1[SEARCH    ]: carry=0 | base=0.43 | wall=3.13 | search=229 | target=site(-0.51,-0.31)
R2[SEARCH    ]: carry=0 | base=2.75 | wall=1.24 | search=1066 | target=site(0.54,0.39)
R3[GIVE_UP   ]: carry=0 | base=1.35 | wall=2.34 | search=936 | target=none
R4[SEARCH    ]: carry=0 | base=0.35 | wall=3.21 | search=133 | target=site(-0.26,0.35)
R5[GIVE_UP   ]: carry=0 | base=0.33 | wall=3.18 | search=936 | target=none
R6[SURVEY    ]: carry=1 | base=1.17 | wall=2.50 | search=  0 | target=none
R7[SEARCH    ]: carry=0 | base=2.10 | wall=1.81 | search=473 | target=site(-1.47,0.51)
R8[SEARCH    ]: carry=0 | base=1.28 | wall=2.24 | search=638 | target=phero(-0.23,-0.55)
R9[SEARCH    ]: carry=0 | base=1.62 | wall=1.90 | search=555 | target=site(0.45,0.39)
R10[GIVE_UP   ]: carry=0 | base=1.41 | wall=2.47 | search=780 | target=none
R11[RTB       ]: carry=1 | base=1.63 | wall=1.93 | search=  0 | target=none
R12[SEARCH    ]: carry=0 | base=0.42 | wall=3.11 | search= 78 | target=site(-0.38,0.19)
R13[SEARCH    ]: carry=0 | base=2.70 | wall=1.25 | search=929 | target=site(0.26,0.37)
R14[BASE_ESC  ]: carry=0 | base=0.22 | wall=3.29 | search=  0 | target=site(-0.26,0.49)
R15[SEARCH    ]: carry=0 | base=0.38 | wall=3.18 | search= 17 | target=site(-0.33,0.17)
R16[GIVE_UP   ]: carry=0 | base=2.18 | wall=1.63 | search=1404 | target=none

======================================================================
Step 2500 (1.3 min) | Pickups: 34 | Deposits: 29 | Rate: 21.75 tags/min | phero_entries=9 max_w=0.647
======================================================================
R1[SEARCH    ]: carry=0 | base=1.85 | wall=1.66 | search=729 | target=site(-0.51,-0.31)
R2[SEARCH    ]: carry=0 | base=3.27 | wall=0.37 | search=1566 | target=site(0.54,0.39)
R3[RTB       ]: carry=1 | base=0.51 | wall=3.10 | search=  0 | target=none
R4[BASE_ESC  ]: carry=0 | base=0.23 | wall=3.28 | search=  0 | target=phero(-1.56,0.46)
R5[RTB       ]: carry=1 | base=0.49 | wall=3.06 | search=  0 | target=none
R6[BASE_ESC  ]: carry=0 | base=0.22 | wall=3.34 | search=  0 | target=site(-0.60,1.00)
R7[GIVE_UP   ]: carry=0 | base=3.71 | wall=0.46 | search=936 | target=none
R8[RTB       ]: carry=1 | base=1.41 | wall=2.13 | search=  0 | target=none
R9[GIVE_UP   ]: carry=0 | base=1.82 | wall=1.68 | search=780 | target=none
R10[RTB       ]: carry=1 | base=0.67 | wall=2.96 | search=  0 | target=none
R11[SITE      ]: carry=0 | base=0.33 | wall=3.17 | search=  0 | target=site(-1.56,0.46)
R12[SEARCH    ]: carry=0 | base=1.31 | wall=2.40 | search=578 | target=site(-0.38,0.19)
R13[GIVE_UP   ]: carry=0 | base=2.37 | wall=1.57 | search=1092 | target=none
R14[SURVEY    ]: carry=1 | base=0.57 | wall=3.04 | search=  0 | target=none
R15[SITE      ]: carry=0 | base=0.29 | wall=3.26 | search=  0 | target=site(-0.37,0.28)
R16[GIVE_UP   ]: carry=0 | base=0.26 | wall=3.28 | search=1404 | target=none

======================================================================
Step 3000 (1.6 min) | Pickups: 36 | Deposits: 34 | Rate: 21.25 tags/min | phero_entries=6 max_w=0.131
======================================================================
R1[SEARCH    ]: carry=0 | base=3.32 | wall=0.50 | search=1229 | target=site(-0.51,-0.31)
R2[SEARCH    ]: carry=0 | base=3.26 | wall=0.38 | search=2066 | target=site(0.54,0.39)
R3[SEARCH    ]: carry=0 | base=0.83 | wall=2.74 | search=136 | target=site(0.45,0.76)
R4[PHERO     ]: carry=0 | base=1.05 | wall=2.55 | search=  0 | target=phero(-1.56,0.46)
R5[SEARCH    ]: carry=0 | base=1.15 | wall=2.54 | search= 80 | target=phero(-0.60,1.00)
R6[RTB       ]: carry=1 | base=0.43 | wall=3.18 | search=  0 | target=none
R7[GIVE_UP   ]: carry=0 | base=1.99 | wall=1.85 | search=936 | target=none
R8[SITE      ]: carry=0 | base=0.37 | wall=3.13 | search=  0 | target=site(-1.78,0.39)
R9[BASE_ESC  ]: carry=0 | base=0.22 | wall=3.28 | search=  0 | target=phero(-1.56,0.46)
R10[PHERO     ]: carry=0 | base=0.43 | wall=3.17 | search=  0 | target=phero(-1.56,0.46)
R11[SEARCH    ]: carry=0 | base=1.62 | wall=1.93 | search=119 | target=site(-1.56,0.46)
R12[RTB       ]: carry=1 | base=1.40 | wall=2.19 | search=  0 | target=none
R13[GIVE_UP   ]: carry=0 | base=0.45 | wall=3.13 | search=1092 | target=none
R14[SEARCH    ]: carry=0 | base=0.57 | wall=3.02 | search= 67 | target=site(-0.34,0.46)
R15[SEARCH    ]: carry=0 | base=0.40 | wall=3.16 | search= 88 | target=site(-0.37,0.28)
R16[PHERO     ]: carry=0 | base=1.12 | wall=2.41 | search=  0 | target=phero(-1.56,0.46)

======================================================================
Step 3500 (1.9 min) | Pickups: 38 | Deposits: 36 | Rate: 19.29 tags/min | phero_entries=4 max_w=0.529
======================================================================
R1[WALL_ESC  ]: carry=0 | base=3.55 | wall=0.33 | search=1729 | target=site(-0.51,-0.31)
R2[SEARCH    ]: carry=0 | base=3.25 | wall=0.38 | search=2566 | target=site(0.54,0.39)
R3[SEARCH    ]: carry=0 | base=0.27 | wall=3.23 | search=636 | target=site(0.45,0.76)
R4[RTB       ]: carry=1 | base=1.36 | wall=2.19 | search=  0 | target=none
R5[SEARCH    ]: carry=0 | base=0.89 | wall=2.80 | search=580 | target=phero(-0.60,1.00)
R6[SEARCH    ]: carry=0 | base=0.31 | wall=3.19 | search=200 | target=site(-0.41,0.39)
R7[BASE_ESC  ]: carry=0 | base=0.22 | wall=3.31 | search=  0 | target=phero(0.54,1.64)
R8[SEARCH    ]: carry=0 | base=1.81 | wall=1.74 | search= 78 | target=site(-1.78,0.39)
R9[PHERO     ]: carry=0 | base=0.39 | wall=3.13 | search=  0 | target=phero(-1.56,0.46)
R10[SEARCH    ]: carry=0 | base=1.53 | wall=2.02 | search=141 | target=phero(-1.56,0.46)
R11[SURVEY    ]: carry=1 | base=0.88 | wall=2.83 | search=  0 | target=none
R12[SITE      ]: carry=0 | base=0.53 | wall=3.03 | search=  0 | target=site(0.54,1.64)
R13[SEARCH    ]: carry=0 | base=1.14 | wall=2.53 | search= 57 | target=phero(-0.60,1.00)
R14[SEARCH    ]: carry=0 | base=1.49 | wall=2.10 | search=567 | target=site(-0.34,0.46)
R15[PHERO     ]: carry=0 | base=1.31 | wall=2.26 | search=  0 | target=phero(-1.56,0.46)
R16[SEARCH    ]: carry=0 | base=1.03 | wall=2.47 | search=377 | target=phero(-1.56,0.46)

======================================================================
Step 4000 (2.1 min) | Pickups: 43 | Deposits: 38 | Rate: 17.81 tags/min | phero_entries=3 max_w=0.107
======================================================================
R1[WALL_ESC  ]: carry=0 | base=3.54 | wall=0.34 | search=2229 | target=site(-0.51,-0.31)
R2[SEARCH    ]: carry=0 | base=3.25 | wall=0.39 | search=3066 | target=site(0.54,0.39)
R3[SURVEY    ]: carry=1 | base=1.54 | wall=1.96 | search=  0 | target=none
R4[SITE      ]: carry=0 | base=0.54 | wall=2.96 | search=  0 | target=site(-1.55,0.48)
R5[SEARCH    ]: carry=0 | base=2.53 | wall=1.11 | search=1080 | target=phero(-0.60,1.00)
R6[BASE_ESC  ]: carry=0 | base=0.24 | wall=3.27 | search=  0 | target=phero(0.54,1.64)
R7[PHERO     ]: carry=0 | base=1.35 | wall=2.19 | search=  0 | target=phero(0.54,1.64)
R8[RTB       ]: carry=1 | base=1.04 | wall=2.50 | search=  0 | target=none
R9[SEARCH    ]: carry=0 | base=1.64 | wall=1.93 | search= 46 | target=phero(-1.56,0.46)
R10[SEARCH    ]: carry=0 | base=1.71 | wall=2.16 | search=641 | target=phero(-1.56,0.46)
R11[SITE      ]: carry=0 | base=0.54 | wall=3.09 | search=  0 | target=site(-0.67,-0.57)
R12[SURVEY    ]: carry=1 | base=1.70 | wall=1.87 | search=  0 | target=none
R13[RTB       ]: carry=1 | base=1.09 | wall=2.48 | search=  0 | target=none
R14[RTB       ]: carry=1 | base=1.58 | wall=1.96 | search=  0 | target=none
R15[SEARCH    ]: carry=0 | base=1.51 | wall=2.03 | search= 95 | target=phero(-1.56,0.46)
R16[SEARCH    ]: carry=0 | base=1.74 | wall=1.91 | search=877 | target=phero(-1.56,0.46)

======================================================================
Step 4500 (2.4 min) | Pickups: 46 | Deposits: 42 | Rate: 17.50 tags/min | phero_entries=4 max_w=0.410
======================================================================
R1[WALL_ESC  ]: carry=0 | base=3.58 | wall=0.34 | search=2729 | target=site(-0.51,-0.31)
R2[SEARCH    ]: carry=0 | base=3.25 | wall=0.39 | search=3566 | target=site(0.54,0.39)
R3[RTB       ]: carry=1 | base=0.51 | wall=2.99 | search=  0 | target=none
R4[SEARCH    ]: carry=0 | base=1.56 | wall=1.98 | search=142 | target=site(-1.55,0.48)
R5[SEARCH    ]: carry=0 | base=3.15 | wall=0.37 | search=1580 | target=phero(-0.60,1.00)
R6[PHERO     ]: carry=0 | base=1.19 | wall=2.41 | search=  0 | target=phero(0.54,1.64)
R7[SEARCH    ]: carry=0 | base=2.18 | wall=1.35 | search=393 | target=phero(0.54,1.64)
R8[SITE      ]: carry=0 | base=0.77 | wall=2.74 | search=  0 | target=site(-1.73,0.47)
R9[SEARCH    ]: carry=0 | base=0.39 | wall=3.13 | search=546 | target=phero(-1.56,0.46)
R10[RTB       ]: carry=1 | base=1.09 | wall=2.57 | search=  0 | target=none
R11[PHERO     ]: carry=0 | base=0.27 | wall=3.24 | search=  0 | target=phero(-0.49,1.09)
R12[RTB       ]: carry=1 | base=0.64 | wall=2.90 | search=  0 | target=none
R13[SITE      ]: carry=0 | base=0.83 | wall=2.72 | search=  0 | target=site(-0.49,1.09)
R14[BASE_ESC  ]: carry=0 | base=0.23 | wall=3.29 | search=  0 | target=site(-1.58,0.52)
R15[SURVEY    ]: carry=1 | base=1.62 | wall=2.00 | search=  0 | target=none
R16[SEARCH    ]: carry=0 | base=3.31 | wall=0.97 | search=1377 | target=phero(-1.56,0.46)

======================================================================
Step 5000 (2.7 min) | Pickups: 50 | Deposits: 46 | Rate: 17.25 tags/min | phero_entries=5 max_w=0.408
======================================================================
R1[GIVE_UP   ]: carry=0 | base=2.73 | wall=1.11 | search=2964 | target=none
R2[SEARCH    ]: carry=0 | base=3.25 | wall=0.39 | search=4066 | target=site(0.54,0.39)
R3[SITE      ]: carry=0 | base=1.42 | wall=2.09 | search=  0 | target=site(0.09,-1.54)
R4[SURVEY    ]: carry=1 | base=1.58 | wall=2.23 | search=  0 | target=none
R5[SEARCH    ]: carry=0 | base=3.14 | wall=0.37 | search=2080 | target=phero(-0.60,1.00)
R6[SURVEY    ]: carry=1 | base=1.99 | wall=1.59 | search=  0 | target=none
R7[SEARCH    ]: carry=0 | base=3.26 | wall=0.45 | search=893 | target=phero(0.54,1.64)
R8[SEARCH    ]: carry=0 | base=1.57 | wall=2.01 | search=245 | target=site(-1.73,0.47)
R9[SEARCH    ]: carry=0 | base=1.46 | wall=2.24 | search=1046 | target=phero(-1.56,0.46)
R10[SITE      ]: carry=0 | base=0.86 | wall=2.82 | search=  0 | target=site(-0.95,1.40)
R11[SEARCH    ]: carry=0 | base=1.19 | wall=2.43 | search= 68 | target=phero(-0.49,1.09)
R12[SITE      ]: carry=0 | base=1.29 | wall=2.28 | search=  0 | target=site(0.49,1.62)
R13[SURVEY    ]: carry=1 | base=1.35 | wall=2.21 | search=  0 | target=none
R14[SEARCH    ]: carry=0 | base=1.66 | wall=1.93 | search= 15 | target=site(-1.58,0.52)
R15[BASE_ESC  ]: carry=0 | base=0.22 | wall=3.28 | search=  0 | target=site(-1.50,0.60)
R16[RTB       ]: carry=1 | base=3.16 | wall=1.21 | search=  0 | target=none

======================================================================
Step 5500 (2.9 min) | Pickups: 57 | Deposits: 48 | Rate: 16.36 tags/min | phero_entries=6 max_w=0.812
======================================================================
R1[RTB       ]: carry=1 | base=1.50 | wall=2.21 | search=  0 | target=none
R2[SEARCH    ]: carry=0 | base=3.24 | wall=0.40 | search=4566 | target=site(0.54,0.39)
R3[SURVEY    ]: carry=1 | base=1.54 | wall=1.96 | search=  0 | target=none
R4[BASE_ESC  ]: carry=0 | base=0.22 | wall=3.30 | search=  0 | target=site(-0.94,1.26)
R5[SEARCH    ]: carry=0 | base=3.13 | wall=0.38 | search=2580 | target=phero(-0.60,1.00)
R6[RTB       ]: carry=1 | base=0.73 | wall=2.81 | search=  0 | target=none
R7[SEARCH    ]: carry=0 | base=3.32 | wall=0.40 | search=1393 | target=phero(0.54,1.64)
R8[RTB       ]: carry=1 | base=1.23 | wall=2.52 | search=  0 | target=none
R9[SEARCH    ]: carry=0 | base=3.14 | wall=0.95 | search=1546 | target=phero(-1.56,0.46)
R10[RTB       ]: carry=1 | base=0.49 | wall=3.09 | search=  0 | target=none
R11[SEARCH    ]: carry=0 | base=1.19 | wall=2.57 | search=568 | target=phero(-0.49,1.09)
R12[RTB       ]: carry=1 | base=1.60 | wall=1.98 | search=  0 | target=none
R13[BASE_ESC  ]: carry=0 | base=0.24 | wall=3.26 | search=  0 | target=site(-0.42,1.28)
R14[SURVEY    ]: carry=1 | base=1.85 | wall=1.68 | search=  0 | target=none
R15[SURVEY    ]: carry=1 | base=1.69 | wall=1.92 | search=  0 | target=none
R16[RTB       ]: carry=1 | base=1.24 | wall=2.60 | search=  0 | target=none

======================================================================
Step 6000 (3.2 min) | Pickups: 59 | Deposits: 55 | Rate: 17.19 tags/min | phero_entries=12 max_w=0.697
======================================================================
R1[BASE_ESC  ]: carry=0 | base=0.22 | wall=3.29 | search=  0 | target=site(-1.54,-0.86)
R2[SEARCH    ]: carry=0 | base=3.24 | wall=0.40 | search=5066 | target=site(0.54,0.39)
R3[SITE      ]: carry=0 | base=0.25 | wall=3.25 | search=  0 | target=site(-0.07,-1.54)
R4[SURVEY    ]: carry=1 | base=1.34 | wall=2.41 | search=  0 | target=none
R5[GIVE_UP   ]: carry=0 | base=2.13 | wall=1.39 | search=2808 | target=none
R6[SITE      ]: carry=0 | base=1.21 | wall=2.35 | search=  0 | target=site(0.54,1.91)
R7[GIVE_UP   ]: carry=0 | base=3.33 | wall=0.40 | search=1872 | target=none
R8[SITE      ]: carry=0 | base=0.72 | wall=2.90 | search=  0 | target=site(-0.95,1.14)
R9[SEARCH    ]: carry=0 | base=3.46 | wall=0.40 | search=2046 | target=phero(-1.56,0.46)
R10[SEARCH    ]: carry=0 | base=1.20 | wall=2.54 | search= 72 | target=site(-0.71,1.00)
R11[SEARCH    ]: carry=0 | base=2.47 | wall=1.08 | search=1068 | target=phero(-0.49,1.09)
R12[SITE      ]: carry=0 | base=0.35 | wall=3.21 | search=  0 | target=site(0.46,1.65)
R13[SURVEY    ]: carry=1 | base=1.35 | wall=2.22 | search=  0 | target=none
R14[RTB       ]: carry=1 | base=0.28 | wall=3.22 | search=  0 | target=none
R15[RTB       ]: carry=1 | base=0.69 | wall=2.86 | search=  0 | target=none
R16[SITE      ]: carry=0 | base=0.60 | wall=3.04 | search=  0 | target=site(-2.52,-2.58)

======================================================================
Step 6500 (3.5 min) | Pickups: 63 | Deposits: 59 | Rate: 17.02 tags/min | phero_entries=14 max_w=0.815
======================================================================
R1[SEARCH    ]: carry=0 | base=1.74 | wall=2.02 | search= 95 | target=site(-1.54,-0.86)
R2[GIVE_UP   ]: carry=0 | base=2.37 | wall=1.24 | search=5304 | target=none
R3[SEARCH    ]: carry=0 | base=1.42 | wall=2.08 | search=163 | target=site(-0.07,-1.54)
R4[SITE      ]: carry=0 | base=0.29 | wall=3.28 | search=  0 | target=site(-0.78,1.08)
R5[BASE_ESC  ]: carry=0 | base=0.23 | wall=3.27 | search=  0 | target=phero(-1.82,-0.36)
R6[RTB       ]: carry=1 | base=1.35 | wall=2.23 | search=  0 | target=none
R7[SURVEY    ]: carry=1 | base=1.65 | wall=1.98 | search=  0 | target=none
R8[SEARCH    ]: carry=0 | base=1.29 | wall=2.39 | search=255 | target=site(-0.95,1.14)
R9[SEARCH    ]: carry=0 | base=3.49 | wall=0.40 | search=2546 | target=phero(-1.56,0.46)
