method,experiment,distribution,arena,sample,foraging_time_min,completed_all_tags,status,elapsed_sim_min,steps,pickups,deposits
decentralized,foraging_time,powerlaw,5x5,1,12,false,duration_elapsed,12,22500,55,55
decentralized,foraging_time,powerlaw,5x5,2,12,true,completed_all_tags,12,22500,64,64
decentralized,foraging_time,powerlaw,5x5,3,12,true,completed_all_tags,12,22500,64,64
decentralized,foraging_time,powerlaw,5x5,4,12,false,duration_elapsed,12,22500,50,48
decentralized,foraging_time,powerlaw,5x5,5,12,true,completed_all_tags,12,22500,64,64
decentralized,foraging_time,powerlaw,5x5,6,12,false,duration_elapsed,12,22500,47,47
decentralized,foraging_time,powerlaw,5x5,7,12,true,completed_all_tags,12,22500,64,64
decentralized,foraging_time,powerlaw,5x5,8,12,false,duration_elapsed,12,22500,58,57
decentralized,foraging_time,powerlaw,5x5,9,12,false,duration_elapsed,12,22500,57,56
decentralized,foraging_time,powerlaw,5x5,10,12,false,duration_elapsed,12,22500,63,61
