method,arena,sample,foraging_time_min,pickups,deposits
decentralized_ppo,7x7,1,25,119,119
decentralized_ppo,7x7,2,25,108,108
decentralized_ppo,7x7,3,25,106,106
decentralized_ppo,7x7,4,25,115,115
decentralized_ppo,7x7,5,25,109,108
decentralized_ppo,7x7,6,25,100,99
decentralized_ppo,7x7,7,25,91,91
decentralized_ppo,7x7,8,25,106,104
decentralized_ppo,7x7,9,25,103,100
decentralized_ppo,7x7,10,25,112,112
