[robot2] Step 66000 | Picks: 3 | Deps: 3 | Rate: 0.16 deps/min (wall time)
[robot2] Step 68000 | Picks: 3 | Deps: 3 | Rate: 0.15 deps/min (wall time)
[robot2] Step 70000 | Picks: 3 | Deps: 3 | Rate: 0.15 deps/min (wall time)
[robot2] Step 72000 | Picks: 3 | Deps: 3 | Rate: 0.14 deps/min (wall time)
[robot2] Step 74000 | Picks: 3 | Deps: 3 | Rate: 0.14 deps/min (wall time)
[robot2] Step 76000 | Picks: 3 | Deps: 3 | Rate: 0.14 deps/min (wall time)
[robot2] Step 78000 | Picks: 3 | Deps: 3 | Rate: 0.13 deps/min (wall time)
[robot2] Step 80000 | Picks: 3 | Deps: 3 | Rate: 0.13 deps/min (wall time)
[robot2] Step 82000 | Picks: 3 | Deps: 3 | Rate: 0.13 deps/min (wall time)
[robot2] Step 84000 | Picks: 3 | Deps: 3 | Rate: 0.12 deps/min (wall time)
[robot2] Step 86000 | Picks: 3 | Deps: 3 | Rate: 0.12 deps/min (wall time)
[robot2] Step 88000 | Picks: 3 | Deps: 3 | Rate: 0.12 deps/min (wall time)
[robot2] Step 90000 | Picks: 3 | Deps: 3 | Rate: 0.11 deps/min (wall time)
[robot2] Step 92000 | Picks: 3 | Deps: 3 | Rate: 0.11 deps/min (wall time)
[robot2] Step 94000 | Picks: 3 | Deps: 3 | Rate: 0.11 deps/min (wall time)
[robot2] Step 96000 | Picks: 3 | Deps: 3 | Rate: 0.11 deps/min (wall time)
[robot2] Step 98000 | Picks: 3 | Deps: 3 | Rate: 0.10 deps/min (wall time)
[robot2] Step 100000 | Picks: 3 | Deps: 3 | Rate: 0.10 deps/min (wall time)
[robot2] Step 102000 | Picks: 3 | Deps: 3 | Rate: 0.10 deps/min (wall time)
[robot2] Step 104000 | Picks: 3 | Deps: 3 | Rate: 0.10 deps/min (wall time)
[robot2] Step 106000 | Picks: 3 | Deps: 3 | Rate: 0.10 deps/min (wall time)
[robot2] Step 108000 | Picks: 3 | Deps: 3 | Rate: 0.10 deps/min (wall time)
[robot2] Step 110000 | Picks: 3 | Deps: 3 | Rate: 0.09 deps/min (wall time)
[robot2] Step 112000 | Picks: 3 | Deps: 3 | Rate: 0.09 deps/min (wall time)
[robot2] Step 114000 | Picks: 3 | Deps: 3 | Rate: 0.09 deps/min (wall time)
[robot2] Step 116000 | Picks: 3 | Deps: 3 | Rate: 0.09 deps/min (wall time)
[robot2] Step 118000 | Picks: 3 | Deps: 3 | Rate: 0.09 deps/min (wall time)
[robot2] Step 120000 | Picks: 3 | Deps: 3 | Rate: 0.09 deps/min (wall time)
[robot2] Step 122000 | Picks: 3 | Deps: 3 | Rate: 0.08 deps/min (wall time)
[robot2] Step 124000 | Picks: 3 | Deps: 3 | Rate: 0.08 deps/min (wall time)
[robot2] Step 126000 | Picks: 3 | Deps: 3 | Rate: 0.08 deps/min (wall time)
[robot2] Step 128000 | Picks: 3 | Deps: 3 | Rate: 0.08 deps/min (wall time)
[robot2] Step 130000 | Picks: 3 | Deps: 3 | Rate: 0.08 deps/min (wall time)
[robot2] Step 132000 | Picks: 3 | Deps: 3 | Rate: 0.08 deps/min (wall time)
[robot2] Step 134000 | Picks: 3 | Deps: 3 | Rate: 0.08 deps/min (wall time)
[robot2] Step 136000 | Picks: 3 | Deps: 3 | Rate: 0.08 deps/min (wall time)
[robot2] Step 138000 | Picks: 3 | Deps: 3 | Rate: 0.07 deps/min (wall time)
[robot2] Step 140000 | Picks: 3 | Deps: 3 | Rate: 0.07 deps/min (wall time)
[robot2] Step 142000 | Picks: 3 | Deps: 3 | Rate: 0.07 deps/min (wall time)
[robot2] Step 144000 | Picks: 3 | Deps: 3 | Rate: 0.07 deps/min (wall time)
[robot2] Step 146000 | Picks: 3 | Deps: 3 | Rate: 0.07 deps/min (wall time)
[robot2] Step 148000 | Picks: 3 | Deps: 3 | Rate: 0.07 deps/min (wall time)
[robot2] Step 150000 | Picks: 3 | Deps: 3 | Rate: 0.07 deps/min (wall time)
[robot2] Step 152000 | Picks: 3 | Deps: 3 | Rate: 0.07 deps/min (wall time)
[robot2] Step 154000 | Picks: 3 | Deps: 3 | Rate: 0.07 deps/min (wall time)
[robot2] Step 156000 | Picks: 3 | Deps: 3 | Rate: 0.07 deps/min (wall time)
