method,distribution,arena,sample,completed,status,completion_time_min,elapsed_time_min,steps,pickups,deposits
centralized_ppo,powerlaw,5x5,1,true,completed,13.7632,13.7632,25806,64,64
centralized_ppo,powerlaw,5x5,2,true,completed,14.9189,14.9189,27973,64,64
centralized_ppo,powerlaw,5x5,3,true,completed,16.6741,16.6741,31264,64,64
centralized_ppo,powerlaw,5x5,4,true,completed,17.6619,17.6619,33116,64,64
centralized_ppo,powerlaw,5x5,5,true,completed,16.6043,16.6043,31133,64,64
