sample,arena,pickups,deposits,sim_time_min,sim_rate,elapsed_min,wall_rate
1,12x12,300,298,95.0,3.1368,116.28,2.5628
2,12x12,281,281,95.0,2.9579,116.95,2.4027
3,12x12,315,314,95.0,3.3053,85.78,3.6603
4,12x12,275,274,95.0,2.8842,83.33,3.2882
5,12x12,288,288,95.0,3.0316,84.58,3.4051
6,12x12,319,317,95.0,3.3368,81.69,3.8803
7,12x12,287,285,95.0,3.0,79.77,3.573
8,12x12,307,305,95.0,3.2105,82.14,3.7131
9,12x12,304,304,95.0,3.2,82.13,3.7017
10,12x12,320,317,95.0,3.3368,74.43,4.259
