sample,arena,pickups,deposits,sim_time_min,sim_rate,elapsed_min,wall_rate
1,9x9,191,188,50.0,3.76,27.53,6.8295
2,9x9,182,182,50.0,3.64,28.3,6.4317
3,9x9,192,192,50.0,3.84,28.68,6.6939
4,9x9,178,176,50.0,3.52,28.52,6.1706
5,9x9,164,163,50.0,3.26,29.08,5.6057
6,9x9,170,168,50.0,3.36,28.83,5.8278
7,9x9,201,200,50.0,4.0,27.25,7.3402
8,9x9,177,176,50.0,3.52,36.4,4.8345
9,9x9,180,180,50.0,3.6,36.15,4.9792
10,9x9,181,178,50.0,3.56,35.84,4.9659
