sample,arena,num_robots,deposits,sim_time_min,sim_rate,wall_time_min,completed,pct_collected
1,7x7,12,82,10.0,8.2,20.93,0,64.1
2,7x7,12,88,10.0,8.8,20.58,0,68.8
3,7x7,12,91,10.0,9.1,20.46,0,71.1
4,7x7,12,88,10.0,8.8,20.67,0,68.8
5,7x7,12,102,10.0,10.2,19.67,0,79.7
6,7x7,12,86,10.0,8.6,20.75,0,67.2
7,7x7,12,96,10.0,9.6,19.97,0,75.0
8,7x7,12,101,10.0,10.1,19.82,0,78.9
9,7x7,12,92,10.0,9.2,20.43,0,71.9
10,7x7,12,86,10.0,8.6,20.58,0,67.2
