sample,arena,num_robots,deposits,sim_time_min,sim_rate,wall_time_min
1,7x7,4,16,10.0,1.6,8.71
2,7x7,4,17,10.0,1.7,8.54
3,7x7,4,30,10.0,3.0,8.62
4,7x7,4,21,10.0,2.1,8.56
5,7x7,4,16,10.0,1.6,8.6
6,7x7,4,10,10.0,1.0,8.63
7,7x7,4,7,10.0,0.7,8.62
8,7x7,4,24,10.0,2.4,8.63
9,7x7,4,10,10.0,1.0,8.65
10,7x7,4,16,10.0,1.6,8.68
