sample,arena,num_robots,deposits,sim_time_min,sim_rate,wall_time_min
1,7x7,8,64,10.0,6.4,20.18
2,7x7,8,42,10.0,4.2,20.51
3,7x7,8,50,10.0,5.0,20.66
4,7x7,8,56,10.0,5.6,19.82
5,7x7,8,40,10.0,4.0,20.63
6,7x7,8,48,10.0,4.8,20.53
7,7x7,8,62,10.0,6.2,20.37
8,7x7,8,63,10.0,6.3,20.56
9,7x7,8,38,10.0,3.8,20.55
10,7x7,8,57,10.0,5.7,20.48
