sample,arena,num_robots,deposits,sim_time_min,sim_rate,wall_time_min,completed,pct_collected
1,5x5,4,64,16.47,3.887,5.23,1,100.0
2,5x5,4,64,16.96,3.7732,5.53,1,100.0
3,5x5,4,64,18.87,3.3915,6.01,1,100.0
4,5x5,4,64,11.85,5.4005,3.61,1,100.0
5,5x5,4,64,19.9,3.2168,6.29,1,100.0
6,5x5,4,64,18.08,3.5402,5.7,1,100.0
7,5x5,4,64,16.2,3.951,5.07,1,100.0
8,5x5,4,64,18.08,3.5391,5.73,1,100.0
9,5x5,4,64,22.47,2.8485,7.18,1,100.0
10,5x5,4,64,18.8,3.4035,5.97,1,100.0
