sample,arena,num_robots,deposits,sim_time_min,sim_rate,wall_time_min,completed,pct_collected
1,5x5,4,64,18.31,3.496,5.86,1,100.0
2,5x5,4,64,17.55,3.6464,5.59,1,100.0
3,5x5,4,64,18.03,3.5496,5.87,1,100.0
4,5x5,4,64,25.68,2.4921,8.28,1,100.0
5,5x5,4,64,22.18,2.8857,7.2,1,100.0
6,5x5,4,64,21.56,2.9679,7.2,1,100.0
7,5x5,4,64,26.78,2.39,8.6,1,100.0
8,5x5,4,64,18.08,3.5406,5.91,1,100.0
9,5x5,4,64,21.75,2.9421,7.03,1,100.0
10,5x5,4,64,21.72,2.9472,7.08,1,100.0
