sample,arena,pickups,deposits,sim_time_min,sim_rate,elapsed_min,wall_rate
1,5x5,52,50,10.0,5.0,2.72,18.3813
2,5x5,55,55,10.0,5.5,2.98,18.4425
3,5x5,58,55,10.0,5.5,2.68,20.5579
4,5x5,52,52,10.0,5.2,2.7,19.2379
5,5x5,54,50,10.0,5.0,2.75,18.2147
6,5x5,54,53,10.0,5.3,3.07,17.266
