sample,arena,num_robots,deposits,sim_time_min,sim_rate,wall_time_min,completed,pct_collected
1,5x5,4,64,16.09,3.9771,5.01,1,100.0
2,5x5,4,64,11.48,5.5762,3.34,1,100.0
3,5x5,4,64,15.49,4.1305,4.78,1,100.0
4,5x5,4,64,13.92,4.5973,4.21,1,100.0
5,5x5,4,64,11.69,5.475,3.4,1,100.0
6,5x5,4,64,14.94,4.2834,4.46,1,100.0
7,5x5,4,64,17.23,3.7148,5.2,1,100.0
8,5x5,4,64,14.47,4.4231,4.22,1,100.0
9,5x5,4,64,12.6,5.08,3.63,1,100.0
10,5x5,4,64,17.61,3.635,5.27,1,100.0
