sample,arena,pickups,deposits,sim_time_min,sim_rate,elapsed_min,wall_rate
1,7x7,119,119,25.0,4.76,9.68,12.2892
2,7x7,108,108,25.0,4.32,10.28,10.5022
3,7x7,106,106,25.0,4.24,9.95,10.6483
4,7x7,115,115,25.0,4.6,9.93,11.5813
5,7x7,109,108,25.0,4.32,9.85,10.9603
6,7x7,100,99,25.0,3.96,10.55,9.3873
7,7x7,91,91,25.0,3.64,10.85,8.3869
8,7x7,106,104,25.0,4.16,10.48,9.9194
9,7x7,103,100,25.0,4.0,10.67,9.3731
10,7x7,112,112,25.0,4.48,10.25,10.9293
