sample,arena,num_robots,deposits,sim_time_min,sim_rate,wall_time_min,completed,pct_collected
1,7x7,8,63,10.0,6.3,7.27,0,98.4
2,7x7,8,43,10.0,4.3,7.82,0,67.2
3,7x7,8,64,10.0,6.4,7.38,1,100.0
4,7x7,8,56,10.0,5.6,7.47,0,87.5
5,7x7,8,54,10.0,5.4,7.55,0,84.4
6,7x7,8,43,10.0,4.3,7.84,0,67.2
7,7x7,8,56,10.0,5.6,7.46,0,87.5
8,7x7,8,58,10.0,5.8,7.41,0,90.6
9,7x7,8,43,10.0,4.3,7.83,0,67.2
10,7x7,8,31,10.0,3.1,8.07,0,48.4
