sample,arena,num_robots,deposits,sim_time_min,sim_rate,wall_time_min,completed,pct_collected
1,7x7,16,132,10.0,13.2,43.11,0,63.5
2,7x7,16,165,10.0,16.5,40.12,0,79.3
3,7x7,16,150,10.0,15.0,42.55,0,72.1
4,7x7,16,128,10.0,12.8,42.59,0,61.5
5,7x7,16,161,10.0,16.1,43.18,0,77.4
6,7x7,16,132,10.0,13.2,42.35,0,63.5
7,7x7,16,138,10.0,13.8,41.93,0,66.3
8,7x7,16,141,10.0,14.1,41.26,0,67.8
9,7x7,16,142,10.0,14.2,42.61,0,68.3
10,7x7,16,133,10.0,13.3,43.02,0,63.9
