sample,arena,num_robots,deposits,sim_time_min,sim_rate,wall_time_min
1,7x7,12,98,10.0,9.8,24.28
2,7x7,12,100,10.0,10.0,23.84
3,7x7,12,108,10.0,10.8,23.49
4,7x7,12,105,10.0,10.5,23.8
5,7x7,12,91,10.0,9.1,25.16
6,7x7,12,102,10.0,10.2,24.18
7,7x7,12,116,10.0,11.6,23.76
8,7x7,12,95,10.0,9.5,24.8
9,7x7,12,84,10.0,8.4,23.93
10,7x7,12,101,10.0,10.1,22.93
